MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM,Text,MESSAGE_ID (2),MESSAGE_LOCATION,USER_LOCATION
tag:search.twitter.com,2005:522383866716520448,NEGATIVE,abuse,tag:search.twitter.com,2005:522383866716520448,POINT (-77.4467499 37.5481200)
tag:search.twitter.com,2005:573893491685650432,POSITIVE,careful,tag:search.twitter.com,2005:573893491685650432,POINT (-122.2727500 37.8715901)
tag:search.twitter.com,2005:573893491685650432,NEGATIVE,inappropriate,tag:search.twitter.com,2005:573893491685650432,POINT (-122.2727500 37.8715901)
tag:search.twitter.com,2005:598823874315341824,NEGATIVE,outrageous,tag:search.twitter.com,2005:598823874315341824,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:614838570055020544,POSITIVE,NOT oversight,tag:search.twitter.com,2005:614838570055020544,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:620692662493036544,POSITIVE,spirit,tag:search.twitter.com,2005:620692662493036544,POINT (-88.3503200 36.8572800)
tag:search.twitter.com,2005:688637876997877760,POSITIVE,NOT oversight,tag:search.twitter.com,2005:688637876997877760,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:576068557924147200,POSITIVE,approval,tag:search.twitter.com,2005:576068557924147200,POINT (-87.4519801 41.5536501)
tag:search.twitter.com,2005:631843978854330369,POSITIVE,well,tag:search.twitter.com,2005:631843978854330369,POINT (55.3333300 25.0000000)
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised,tag:search.twitter.com,2005:637348326275436544,POINT (-84.8776200 38.2004200)
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised,tag:search.twitter.com,2005:637348326275436544,POINT (-84.8776200 38.2004200)
tag:search.twitter.com,2005:522378498410041344,NEGATIVE,abuse,tag:search.twitter.com,2005:522378498410041344,POINT (-85.0007700 32.4709800)
tag:search.twitter.com,2005:613153023557132288,NEGATIVE,criticism,tag:search.twitter.com,2005:613153023557132288,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:522408586266566656,NEGATIVE,abuse,tag:search.twitter.com,2005:522408586266566656,POINT (-82.4575901 28.2189000)
tag:search.twitter.com,2005:522389768932716545,NEGATIVE,abuse,tag:search.twitter.com,2005:522389768932716545,POINT (-75.4998999 43.0003500)
tag:search.twitter.com,2005:522377428031647744,NEGATIVE,abuse,tag:search.twitter.com,2005:522377428031647744,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:522377295911067648,NEGATIVE,abuse,tag:search.twitter.com,2005:522377295911067648,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:532259917952872448,NEGATIVE,oversight,tag:search.twitter.com,2005:532259917952872448,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:635081018911891456,POSITIVE,NOT oversight,tag:search.twitter.com,2005:635081018911891456,POINT (-106.0008499 34.5003400)
