MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM,Text
tag:search.twitter.com,2005:522385395527340032,NEGATIVE,abuse
tag:search.twitter.com,2005:522383866716520448,NEGATIVE,abuse
tag:search.twitter.com,2005:522383693923762176,NEGATIVE,abuse
tag:search.twitter.com,2005:522903173959151617,NEGATIVE,abuse
tag:search.twitter.com,2005:534437253712740353,POSITIVE,gift
tag:search.twitter.com,2005:534437253712740353,POSITIVE,free
tag:search.twitter.com,2005:534437253712740353,POSITIVE,bonus
tag:search.twitter.com,2005:573893491685650432,POSITIVE,careful
tag:search.twitter.com,2005:573893491685650432,NEGATIVE,inappropriate
tag:search.twitter.com,2005:598894901103853568,POSITIVE,NOT oversight
tag:search.twitter.com,2005:690179617584353280,NEGATIVE,not right
tag:search.twitter.com,2005:522398054788243456,NEGATIVE,abuse
tag:search.twitter.com,2005:529250408762732546,POSITIVE,glad
tag:search.twitter.com,2005:560626747016609792,NEGATIVE,hoax
tag:search.twitter.com,2005:560626747016609792,NEGATIVE,scam
tag:search.twitter.com,2005:598823874315341824,NEGATIVE,outrageous
tag:search.twitter.com,2005:614838570055020544,POSITIVE,NOT oversight
tag:search.twitter.com,2005:620692662493036544,POSITIVE,spirit
tag:search.twitter.com,2005:688637876997877760,POSITIVE,NOT oversight
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered
tag:search.twitter.com,2005:557237137939374083,NEGATIVE,shit
tag:search.twitter.com,2005:557237137939374083,POSITIVE,funny
tag:search.twitter.com,2005:576068557924147200,POSITIVE,approval
tag:search.twitter.com,2005:631843978854330369,POSITIVE,well
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised
tag:search.twitter.com,2005:522378498410041344,NEGATIVE,abuse
tag:search.twitter.com,2005:522387275431563264,NEGATIVE,abuse
tag:search.twitter.com,2005:522553704550236160,NEGATIVE,abuse
tag:search.twitter.com,2005:607995932618035200,NEGATIVE,troubling
tag:search.twitter.com,2005:613153023557132288,NEGATIVE,criticism
tag:search.twitter.com,2005:522408586266566656,NEGATIVE,abuse
tag:search.twitter.com,2005:522389768932716545,NEGATIVE,abuse
tag:search.twitter.com,2005:522377428031647744,NEGATIVE,abuse
tag:search.twitter.com,2005:522377295911067648,NEGATIVE,abuse
tag:search.twitter.com,2005:532259917952872448,NEGATIVE,oversight
tag:search.twitter.com,2005:630479509255405569,NEGATIVE,poor
tag:search.twitter.com,2005:630479509255405569,POSITIVE,luck
tag:search.twitter.com,2005:635081018911891456,POSITIVE,NOT oversight
tag:search.twitter.com,2005:694607873570111492,NEGATIVE,sucks
tag:search.twitter.com,2005:710493158635933696,POSITIVE,gift
tag:search.twitter.com,2005:608017269419962368,NEGATIVE,troubling
tag:search.twitter.com,2005:623543404253700096,NEGATIVE,worried
tag:search.twitter.com,2005:623543404253700096,NEGATIVE,non-existent
tag:search.twitter.com,2005:669879948321116160,NEGATIVE,NOT gift
tag:search.twitter.com,2005:669879948321116160,POSITIVE,supporting
tag:search.twitter.com,2005:669879948321116160,POSITIVE,supporting great
tag:search.twitter.com,2005:671411550431875072,POSITIVE,I like
tag:search.twitter.com,2005:500358274823487488,POSITIVE,securely
tag:search.twitter.com,2005:504635849275744256,POSITIVE,Helpful
tag:search.twitter.com,2005:522377244606345217,NEGATIVE,abuse
tag:search.twitter.com,2005:547570328357310464,POSITIVE,delivered
tag:search.twitter.com,2005:547570328357310464,POSITIVE,gift
tag:search.twitter.com,2005:523074241961275393,POSITIVE,easy
tag:search.twitter.com,2005:523074241961275393,POSITIVE,not affected
tag:search.twitter.com,2005:522378276543926273,NEGATIVE,abuse
tag:search.twitter.com,2005:547495253511385088,POSITIVE,delivered
tag:search.twitter.com,2005:547495253511385088,POSITIVE,gift
tag:search.twitter.com,2005:564093723550953472,NEGATIVE,not work
tag:search.twitter.com,2005:564093723550953472,NEGATIVE,Missing
tag:search.twitter.com,2005:727986823000100864,NEGATIVE,abused
tag:search.twitter.com,2005:727986823000100864,NEGATIVE,abused
tag:search.twitter.com,2005:749366769224122368,POSITIVE,voluntary
tag:search.twitter.com,2005:515386531561746433,NEGATIVE,accidentally
tag:search.twitter.com,2005:522383428835360769,NEGATIVE,abuse
tag:search.twitter.com,2005:522394253054332929,NEGATIVE,abuse
tag:search.twitter.com,2005:551444751241994241,POSITIVE,fun
tag:search.twitter.com,2005:551444751241994241,POSITIVE,enough
tag:search.twitter.com,2005:605778732071067648,POSITIVE,NOT oversight
tag:search.twitter.com,2005:608017351628316672,NEGATIVE,troubling
tag:search.twitter.com,2005:637353502885343232,POSITIVE,Secure
tag:search.twitter.com,2005:637353502885343232,NEGATIVE,compromised
tag:search.twitter.com,2005:637353502885343232,NEGATIVE,compromised
tag:search.twitter.com,2005:726818047483351041,POSITIVE,better
tag:search.twitter.com,2005:514240722405322754,POSITIVE,ability
tag:search.twitter.com,2005:523084261801619456,POSITIVE,easy
tag:search.twitter.com,2005:523084261801619456,POSITIVE,not affected
tag:search.twitter.com,2005:522390722721222656,NEGATIVE,abuse
